Model	PDX/PDC/Organoid Sample	Common	Originator Only	Test Sample Only	Jaccard	PPA_refOriginator	PPA_refTest	ISA
949853~013-R	949853~013-R.maf	1078	217	431	0.62	0.83	0.71	0.77
952719~076-R	952719~076-R.maf	2717	42	489	0.84	0.98	0.85	0.91
953693~121-R3	953693~121-R3.maf	1151	138	585	0.61	0.89	0.66	0.76
957923~259-R	957923~259-R.maf	1240	44	391	0.74	0.97	0.76	0.85
969956~357-R	969956~357-R.maf	1183	62	358	0.74	0.95	0.77	0.85
971451~060-R	971451~060-R.maf	1148	126	535	0.63	0.9	0.68	0.78
972766~346-R	972766~346-R.maf	1187	86	699	0.6	0.93	0.63	0.75
972917~350-R	972917~350-R.maf	3172	77	541	0.84	0.98	0.85	0.91
974816~308-R	974816~308-R.maf	1819	289	681	0.65	0.86	0.73	0.79
975524~054-R	975524~054-R.maf	1104	142	651	0.58	0.89	0.63	0.74
979852~250-R	979852~250-R.maf	1167	160	598	0.61	0.88	0.66	0.75
981439~253-R	981439~253-R.maf	1192	115	685	0.6	0.91	0.64	0.75
983718~287-R	983718~287-R.maf	2779	421	1439	0.6	0.87	0.66	0.75
987419~145-R	987419~145-R.maf	1116	162	722	0.56	0.87	0.61	0.72
988467~305-R	988467~305-R.maf	1235	93	588	0.64	0.93	0.68	0.78
989133~093-R	989133~093-R.maf	1170	190	548	0.61	0.86	0.68	0.76
992656~260-R	992656~260-R.maf	1249	63	505	0.69	0.95	0.71	0.81
993429~296-R	993429~296-R.maf	1310	86	616	0.65	0.94	0.68	0.79
995276~142-R	995276~142-R.maf	1161	100	517	0.65	0.92	0.69	0.79
997726~040-R	997726~040-R.maf	1531	129	576	0.68	0.92	0.73	0.81
